feature,x,ale
AC_CLEAN,0.0,0.10403919528269163
AC_CLEAN,7.0088888888888885,0.10403919528269163
AC_CLEAN,30.646666666666665,0.10403919528269163
AC_CLEAN,61.18666666666667,0.10403919528269163
AC_CLEAN,97.91333333333333,0.10403919528269163
AC_CLEAN,140.12857142857143,0.10403919528269163
AC_CLEAN,181.66000000000005,0.10403919528269163
AC_CLEAN,224.65,0.10403919528269163
AC_CLEAN,253.92666666666665,0.10403919528269163
AC_CLEAN,298.3977777777778,0.06237252861602497
AC_CLEAN,364.5333333333334,0.06237252861602497
AC_CLEAN,401.98666666666657,0.020705861949358306
AC_CLEAN,453.42666666666656,0.020705861949358306
AC_CLEAN,486.88,0.020705861949358306
AC_CLEAN,545.3533333333335,-0.020960804717308365
AC_CLEAN,591.7466666666668,-0.020960804717308365
AC_CLEAN,630.6428571428571,-0.06262747138397502
AC_CLEAN,675.1333333333334,-0.06262747138397502
AC_CLEAN,732.1733333333334,-0.2292941380506417
AC_CLEAN,813.6928571428573,-0.5209608047173083
AC_CLEAN,953.9333333333332,-0.8009608047173084
AC_CLEAN,1075.9333333333332,-0.8009608047173084
AC_CLEAN,1274.52,-0.8009608047173084
DC_CLEAN,0.0,0.016822754075615676
DC_CLEAN,7.266666666666664,0.016822754075615676
DC_CLEAN,31.7,0.016822754075615676
DC_CLEAN,63.113333333333344,0.016822754075615676
DC_CLEAN,100.76666666666668,0.016822754075615676
DC_CLEAN,143.60000000000002,0.016822754075615676
DC_CLEAN,185.57333333333327,0.016822754075615676
DC_CLEAN,229.06666666666672,0.016822754075615676
DC_CLEAN,258.94666666666666,0.016822754075615676
DC_CLEAN,305.58666666666664,0.016822754075615676
DC_CLEAN,371.12666666666667,0.016822754075615676
DC_CLEAN,409.3266666666667,0.016822754075615676
DC_CLEAN,462.04666666666657,0.016822754075615676
DC_CLEAN,496.73333333333335,0.016822754075615676
DC_CLEAN,556.3866666666667,0.016822754075615676
DC_CLEAN,603.9266666666665,0.016822754075615676
DC_CLEAN,643.7357142857143,0.016822754075615676
DC_CLEAN,689.36,0.016822754075615676
DC_CLEAN,748.0933333333332,-0.06651057925771765
DC_CLEAN,831.75,-0.14984391259105098
DC_CLEAN,976.56,-0.14984391259105098
DC_CLEAN,1102.0466666666664,-0.14984391259105098
DC_CLEAN,1306.7866666666666,-0.14984391259105098
DAILY_YIELD_CLEAN,0.0,0.0
DAILY_YIELD_CLEAN,13.2,0.0
DAILY_YIELD_CLEAN,79.26666666666665,0.0
DAILY_YIELD_CLEAN,190.8,0.0
DAILY_YIELD_CLEAN,404.4666666666666,0.0
DAILY_YIELD_CLEAN,661.6,0.0
DAILY_YIELD_CLEAN,980.5333333333332,0.0
DAILY_YIELD_CLEAN,1110.0,0.0
DAILY_YIELD_CLEAN,1424.4666666666667,0.0
DAILY_YIELD_CLEAN,1831.4,0.0
DAILY_YIELD_CLEAN,2184.857142857143,0.0
DAILY_YIELD_CLEAN,2608.9333333333334,0.0
DAILY_YIELD_CLEAN,2636.0,0.0
DAILY_YIELD_CLEAN,3040.333333333333,0.0
DAILY_YIELD_CLEAN,3509.2000000000003,0.0
DAILY_YIELD_CLEAN,3858.666666666667,0.0
DAILY_YIELD_CLEAN,3876.642857142857,0.0
DAILY_YIELD_CLEAN,4165.2,0.0
DAILY_YIELD_CLEAN,4235.066666666667,0.0
DAILY_YIELD_CLEAN,4624.4,0.0
DAILY_YIELD_CLEAN,4760.800000000001,0.0
DAILY_YIELD_CLEAN,5269.642857142858,0.0
DAILY_YIELD_CLEAN,5604.933333333334,0.0
DAILY_YIELD_CLEAN,5721.333333333334,0.0
DAILY_YIELD_CLEAN,5935.333333333334,0.0
DAILY_YIELD_CLEAN,5937.8,0.0
DAILY_YIELD_CLEAN,6283.4,0.0
DAILY_YIELD_CLEAN,6818.6,0.0
DAILY_YIELD_CLEAN,8036.333333333333,0.0
DAILY_YIELD_CLEAN,8970.266666666665,0.0
DAILY_YIELD_CLEAN,9059.92857142857,0.0
TOTAL_YIELD_CLEAN,593758618.0,-0.014091224419007977
TOTAL_YIELD_CLEAN,593762172.2142856,-0.014091224419007977
TOTAL_YIELD_CLEAN,593767588.2666665,-0.014091224419007977
TOTAL_YIELD_CLEAN,593767683.0,-0.014091224419007977
TOTAL_YIELD_CLEAN,593771575.8000001,-0.014091224419007977
TOTAL_YIELD_CLEAN,593775670.3333333,-0.014091224419007977
TOTAL_YIELD_CLEAN,593775723.0,-0.014091224419007977
TOTAL_YIELD_CLEAN,593776833.0,-0.014091224419007977
TOTAL_YIELD_CLEAN,593778349.7,-0.014091224419007977
TOTAL_YIELD_CLEAN,593778359.0,-0.014091224419007977
TOTAL_YIELD_CLEAN,593780194.9333333,-0.014091224419007977
TOTAL_YIELD_CLEAN,593782177.3333334,-0.014091224419007977
TOTAL_YIELD_CLEAN,593782236.0,-0.014091224419007977
TOTAL_YIELD_CLEAN,593783906.0666667,-0.014091224419007977
TOTAL_YIELD_CLEAN,593786941.8571428,-0.014091224419007977
TOTAL_YIELD_CLEAN,593787000.0,-0.014091224419007977
TOTAL_YIELD_CLEAN,593788546.0,-0.014091224419007977
TOTAL_YIELD_CLEAN,593792864.6666667,-0.014091224419007977
TOTAL_YIELD_CLEAN,593792941.0,-0.014091224419007977
TOTAL_YIELD_CLEAN,593795908.1999999,-0.014091224419007977
TOTAL_YIELD_CLEAN,593798775.9333335,0.027575442247658687
TOTAL_YIELD_CLEAN,593798878.0,0.027575442247658687
TOTAL_YIELD_CLEAN,593801963.3333334,0.027575442247658687
TOTAL_YIELD_CLEAN,593805068.0666667,0.027575442247658687
